method,metoda,AUC-PR,rank,dataset,folder
metoda19,run19_BuzzFeed_pr_curve.csv,0.5878928832361642,1,BuzzFeed,results_1_classic
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.5764805954847447,2,BuzzFeed,results_1_classic
metoda13,run13_BuzzFeed_pr_curve.csv,0.552470755261242,3,BuzzFeed,results_1_classic
metoda5,run5_BuzzFeed_pr_curve.csv,0.5523413709883542,4,BuzzFeed,results_1_classic
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.5509751547116649,5,BuzzFeed,results_1_classic
metoda7,run7_BuzzFeed_pr_curve.csv,0.5502495980905798,6,BuzzFeed,results_1_classic
metoda9,run9_BuzzFeed_pr_curve.csv,0.5279914472241797,7,BuzzFeed,results_1_classic
metoda11,run11_BuzzFeed_pr_curve.csv,0.5275444597964546,8,BuzzFeed,results_1_classic
metoda6,run6_BuzzFeed_pr_curve.csv,0.524171800653578,9,BuzzFeed,results_1_classic
metoda3,run3_BuzzFeed_pr_curve.csv,0.524171800653578,10,BuzzFeed,results_1_classic
metoda2,run2_BuzzFeed_pr_curve.csv,0.524171800653578,11,BuzzFeed,results_1_classic
metoda20,run20_BuzzFeed_pr_curve.csv,0.524171800653578,12,BuzzFeed,results_1_classic
metoda4,run4_BuzzFeed_pr_curve.csv,0.524171800653578,13,BuzzFeed,results_1_classic
metoda15,run15_BuzzFeed_pr_curve.csv,0.524171800653578,14,BuzzFeed,results_1_classic
metoda8,run8_BuzzFeed_pr_curve.csv,0.524171800653578,15,BuzzFeed,results_1_classic
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.5235471321293833,16,BuzzFeed,results_1_classic
metoda10,run10_BuzzFeed_pr_curve.csv,0.5092425819648818,17,BuzzFeed,results_1_classic
metoda14,run14_BuzzFeed_pr_curve.csv,0.4873421042804442,18,BuzzFeed,results_1_classic
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.4767631295902548,19,BuzzFeed,results_1_classic
metoda18,run18_BuzzFeed_pr_curve.csv,0.47474451427834174,20,BuzzFeed,results_1_classic
metoda16,run16_BuzzFeed_pr_curve.csv,0.470779171131226,21,BuzzFeed,results_1_classic
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.397560256701143,22,BuzzFeed,results_1_classic
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.388887547951287,23,BuzzFeed,results_1_classic
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.3804672633175874,24,BuzzFeed,results_1_classic
metoda17,run17_BuzzFeed_pr_curve.csv,0.3755356102481058,25,BuzzFeed,results_1_classic
metoda19,run19_ISOT_pr_curve.csv,0.6913346312986811,1,ISOT,results_1_classic
metoda16,run16_ISOT_pr_curve.csv,0.6875136078370849,2,ISOT,results_1_classic
metoda14,run14_ISOT_pr_curve.csv,0.6874568664490494,3,ISOT,results_1_classic
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.6784769622280598,4,ISOT,results_1_classic
metoda5,run5_ISOT_pr_curve.csv,0.6703290905534236,5,ISOT,results_1_classic
metoda13,run13_ISOT_pr_curve.csv,0.6526667351509927,6,ISOT,results_1_classic
metoda11,run11_ISOT_pr_curve.csv,0.6495969424705635,7,ISOT,results_1_classic
metoda9,run9_ISOT_pr_curve.csv,0.6401891775113349,8,ISOT,results_1_classic
metoda7,run7_ISOT_pr_curve.csv,0.636910953810925,9,ISOT,results_1_classic
metoda10,run10_ISOT_pr_curve.csv,0.6299608102550471,10,ISOT,results_1_classic
metoda18,run18_ISOT_pr_curve.csv,0.6287845964143561,11,ISOT,results_1_classic
metoda1-3,run1-3_ISOT_pr_curve.csv,0.6255385010181403,12,ISOT,results_1_classic
metoda1-2,run1-2_ISOT_pr_curve.csv,0.6250425261716208,13,ISOT,results_1_classic
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.623716898388374,14,ISOT,results_1_classic
metoda1-1,run1-1_ISOT_pr_curve.csv,0.6217576657789333,15,ISOT,results_1_classic
metoda1-4,run1-4_ISOT_pr_curve.csv,0.6216747611309419,16,ISOT,results_1_classic
metoda1-5,run1-5_ISOT_pr_curve.csv,0.6216229858643497,17,ISOT,results_1_classic
metoda17,run17_ISOT_pr_curve.csv,0.6155848970340368,18,ISOT,results_1_classic
metoda2,run2_ISOT_pr_curve.csv,0.5852901031137109,19,ISOT,results_1_classic
metoda3,run3_ISOT_pr_curve.csv,0.5852901031137109,20,ISOT,results_1_classic
metoda4,run4_ISOT_pr_curve.csv,0.5852901031137109,21,ISOT,results_1_classic
metoda15,run15_ISOT_pr_curve.csv,0.5852901031137109,22,ISOT,results_1_classic
metoda6,run6_ISOT_pr_curve.csv,0.5852901031137109,23,ISOT,results_1_classic
metoda8,run8_ISOT_pr_curve.csv,0.5852901031137109,24,ISOT,results_1_classic
metoda20,run20_ISOT_pr_curve.csv,0.5852901031137109,25,ISOT,results_1_classic
metoda19,run19_WELFake_pr_curve.csv,0.8616469892060642,1,WELFake,results_1_classic
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.836003464541898,2,WELFake,results_1_classic
metoda16,run16_WELFake_pr_curve.csv,0.8357236059851462,3,WELFake,results_1_classic
metoda14,run14_WELFake_pr_curve.csv,0.8354902334377536,4,WELFake,results_1_classic
metoda5,run5_WELFake_pr_curve.csv,0.8272654966777366,5,WELFake,results_1_classic
metoda13,run13_WELFake_pr_curve.csv,0.8190836389487568,6,WELFake,results_1_classic
metoda7,run7_WELFake_pr_curve.csv,0.7851250398692994,7,WELFake,results_1_classic
metoda9,run9_WELFake_pr_curve.csv,0.7826277573383051,8,WELFake,results_1_classic
metoda18,run18_WELFake_pr_curve.csv,0.7792393938301229,9,WELFake,results_1_classic
metoda11,run11_WELFake_pr_curve.csv,0.7780101506227728,10,WELFake,results_1_classic
metoda10,run10_WELFake_pr_curve.csv,0.7755082668074833,11,WELFake,results_1_classic
metoda20,run20_WELFake_pr_curve.csv,0.773406354117205,12,WELFake,results_1_classic
metoda3,run3_WELFake_pr_curve.csv,0.773406354117205,13,WELFake,results_1_classic
metoda15,run15_WELFake_pr_curve.csv,0.773406354117205,14,WELFake,results_1_classic
metoda8,run8_WELFake_pr_curve.csv,0.773406354117205,15,WELFake,results_1_classic
metoda6,run6_WELFake_pr_curve.csv,0.773406354117205,16,WELFake,results_1_classic
metoda4,run4_WELFake_pr_curve.csv,0.773406354117205,17,WELFake,results_1_classic
metoda2,run2_WELFake_pr_curve.csv,0.773406354117205,18,WELFake,results_1_classic
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.7724394708556457,19,WELFake,results_1_classic
metoda1-1,run1-1_WELFake_pr_curve.csv,0.7722381377261905,20,WELFake,results_1_classic
metoda1-2,run1-2_WELFake_pr_curve.csv,0.7706805042279107,21,WELFake,results_1_classic
metoda1-4,run1-4_WELFake_pr_curve.csv,0.7705317957835943,22,WELFake,results_1_classic
metoda1-5,run1-5_WELFake_pr_curve.csv,0.7680034204999209,23,WELFake,results_1_classic
metoda1-3,run1-3_WELFake_pr_curve.csv,0.7558458958543393,24,WELFake,results_1_classic
metoda17,run17_WELFake_pr_curve.csv,0.7403653316166632,25,WELFake,results_1_classic
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.8211111111111111,1,BuzzFeed,results_1_few_shot
metoda14,run14_BuzzFeed_pr_curve.csv,0.723095238095238,2,BuzzFeed,results_1_few_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.5949206349206348,3,BuzzFeed,results_1_few_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.5359126984126984,4,BuzzFeed,results_1_few_shot
metoda7,run7_BuzzFeed_pr_curve.csv,0.5279365079365079,5,BuzzFeed,results_1_few_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.5168253968253969,6,BuzzFeed,results_1_few_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.4876984126984127,7,BuzzFeed,results_1_few_shot
metoda13,run13_BuzzFeed_pr_curve.csv,0.4639682539682539,8,BuzzFeed,results_1_few_shot
metoda5,run5_BuzzFeed_pr_curve.csv,0.4393650793650794,9,BuzzFeed,results_1_few_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.4317857142857143,10,BuzzFeed,results_1_few_shot
metoda9,run9_BuzzFeed_pr_curve.csv,0.39682539682539675,11,BuzzFeed,results_1_few_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.3815873015873016,12,BuzzFeed,results_1_few_shot
metoda11,run11_BuzzFeed_pr_curve.csv,0.36924603174603177,13,BuzzFeed,results_1_few_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.3646031746031746,14,BuzzFeed,results_1_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.3612698412698413,15,BuzzFeed,results_1_few_shot
metoda17,run17_BuzzFeed_pr_curve.csv,0.3509126984126984,16,BuzzFeed,results_1_few_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.35,17,BuzzFeed,results_1_few_shot
metoda20,run20_BuzzFeed_pr_curve.csv,0.33246031746031746,18,BuzzFeed,results_1_few_shot
metoda2,run2_BuzzFeed_pr_curve.csv,0.33246031746031746,19,BuzzFeed,results_1_few_shot
metoda3,run3_BuzzFeed_pr_curve.csv,0.33246031746031746,20,BuzzFeed,results_1_few_shot
metoda4,run4_BuzzFeed_pr_curve.csv,0.33246031746031746,21,BuzzFeed,results_1_few_shot
metoda15,run15_BuzzFeed_pr_curve.csv,0.33246031746031746,22,BuzzFeed,results_1_few_shot
metoda6,run6_BuzzFeed_pr_curve.csv,0.33246031746031746,23,BuzzFeed,results_1_few_shot
metoda8,run8_BuzzFeed_pr_curve.csv,0.33246031746031746,24,BuzzFeed,results_1_few_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.33246031746031746,25,BuzzFeed,results_1_few_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,1.0,1,ISOT,results_1_few_shot
metoda14,run14_ISOT_pr_curve.csv,1.0,2,ISOT,results_1_few_shot
metoda9,run9_ISOT_pr_curve.csv,0.919642857142857,3,ISOT,results_1_few_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.9166666666666665,4,ISOT,results_1_few_shot
metoda18,run18_ISOT_pr_curve.csv,0.9055555555555554,5,ISOT,results_1_few_shot
metoda13,run13_ISOT_pr_curve.csv,0.8944444444444444,6,ISOT,results_1_few_shot
metoda5,run5_ISOT_pr_curve.csv,0.8930952380952379,7,ISOT,results_1_few_shot
metoda19,run19_ISOT_pr_curve.csv,0.874642857142857,8,ISOT,results_1_few_shot
metoda11,run11_ISOT_pr_curve.csv,0.8605555555555555,9,ISOT,results_1_few_shot
metoda10,run10_ISOT_pr_curve.csv,0.8163095238095237,10,ISOT,results_1_few_shot
metoda17,run17_ISOT_pr_curve.csv,0.7684523809523809,11,ISOT,results_1_few_shot
metoda7,run7_ISOT_pr_curve.csv,0.7684523809523809,12,ISOT,results_1_few_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.7329761904761904,13,ISOT,results_1_few_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.7329761904761904,14,ISOT,results_1_few_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.7329761904761904,15,ISOT,results_1_few_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.6851190476190476,16,ISOT,results_1_few_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.6851190476190476,17,ISOT,results_1_few_shot
metoda15,run15_ISOT_pr_curve.csv,0.6580952380952381,18,ISOT,results_1_few_shot
metoda20,run20_ISOT_pr_curve.csv,0.6580952380952381,19,ISOT,results_1_few_shot
metoda2,run2_ISOT_pr_curve.csv,0.6580952380952381,20,ISOT,results_1_few_shot
metoda3,run3_ISOT_pr_curve.csv,0.6580952380952381,21,ISOT,results_1_few_shot
metoda4,run4_ISOT_pr_curve.csv,0.6580952380952381,22,ISOT,results_1_few_shot
metoda6,run6_ISOT_pr_curve.csv,0.6580952380952381,23,ISOT,results_1_few_shot
metoda8,run8_ISOT_pr_curve.csv,0.6580952380952381,24,ISOT,results_1_few_shot
metoda16,run16_ISOT_pr_curve.csv,0.47555555555555556,25,ISOT,results_1_few_shot
metoda9,run9_WELFake_pr_curve.csv,1.0,1,WELFake,results_1_few_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,1.0,2,WELFake,results_1_few_shot
metoda13,run13_WELFake_pr_curve.csv,0.9633333333333334,3,WELFake,results_1_few_shot
metoda19,run19_WELFake_pr_curve.csv,0.9380952380952381,4,WELFake,results_1_few_shot
metoda5,run5_WELFake_pr_curve.csv,0.8647619047619046,5,WELFake,results_1_few_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.8647619047619046,6,WELFake,results_1_few_shot
metoda8,run8_WELFake_pr_curve.csv,0.8347619047619046,7,WELFake,results_1_few_shot
metoda6,run6_WELFake_pr_curve.csv,0.8347619047619046,8,WELFake,results_1_few_shot
metoda4,run4_WELFake_pr_curve.csv,0.8347619047619046,9,WELFake,results_1_few_shot
metoda3,run3_WELFake_pr_curve.csv,0.8347619047619046,10,WELFake,results_1_few_shot
metoda2,run2_WELFake_pr_curve.csv,0.8347619047619046,11,WELFake,results_1_few_shot
metoda15,run15_WELFake_pr_curve.csv,0.8347619047619046,12,WELFake,results_1_few_shot
metoda20,run20_WELFake_pr_curve.csv,0.8347619047619046,13,WELFake,results_1_few_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.8064285714285713,14,WELFake,results_1_few_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.8064285714285713,15,WELFake,results_1_few_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.7879761904761904,16,WELFake,results_1_few_shot
metoda7,run7_WELFake_pr_curve.csv,0.7766666666666666,17,WELFake,results_1_few_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.7684523809523809,18,WELFake,results_1_few_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.7422222222222221,19,WELFake,results_1_few_shot
metoda18,run18_WELFake_pr_curve.csv,0.7167857142857144,20,WELFake,results_1_few_shot
metoda10,run10_WELFake_pr_curve.csv,0.6884126984126984,21,WELFake,results_1_few_shot
metoda17,run17_WELFake_pr_curve.csv,0.6746031746031746,22,WELFake,results_1_few_shot
metoda11,run11_WELFake_pr_curve.csv,0.6634920634920635,23,WELFake,results_1_few_shot
metoda14,run14_WELFake_pr_curve.csv,0.6424603174603174,24,WELFake,results_1_few_shot
metoda16,run16_WELFake_pr_curve.csv,0.37579365079365074,25,WELFake,results_1_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,1.0,1,BuzzFeed,results_1_one_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,1.0,2,BuzzFeed,results_1_one_shot
metoda8,run8_BuzzFeed_pr_curve.csv,1.0,3,BuzzFeed,results_1_one_shot
metoda7,run7_BuzzFeed_pr_curve.csv,1.0,4,BuzzFeed,results_1_one_shot
metoda6,run6_BuzzFeed_pr_curve.csv,1.0,5,BuzzFeed,results_1_one_shot
metoda5,run5_BuzzFeed_pr_curve.csv,1.0,6,BuzzFeed,results_1_one_shot
metoda4,run4_BuzzFeed_pr_curve.csv,1.0,7,BuzzFeed,results_1_one_shot
metoda3,run3_BuzzFeed_pr_curve.csv,1.0,8,BuzzFeed,results_1_one_shot
metoda2,run2_BuzzFeed_pr_curve.csv,1.0,9,BuzzFeed,results_1_one_shot
metoda20,run20_BuzzFeed_pr_curve.csv,1.0,10,BuzzFeed,results_1_one_shot
metoda17,run17_BuzzFeed_pr_curve.csv,1.0,11,BuzzFeed,results_1_one_shot
metoda16,run16_BuzzFeed_pr_curve.csv,1.0,12,BuzzFeed,results_1_one_shot
metoda15,run15_BuzzFeed_pr_curve.csv,1.0,13,BuzzFeed,results_1_one_shot
metoda14,run14_BuzzFeed_pr_curve.csv,1.0,14,BuzzFeed,results_1_one_shot
metoda13,run13_BuzzFeed_pr_curve.csv,1.0,15,BuzzFeed,results_1_one_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,1.0,16,BuzzFeed,results_1_one_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,1.0,17,BuzzFeed,results_1_one_shot
metoda11,run11_BuzzFeed_pr_curve.csv,1.0,18,BuzzFeed,results_1_one_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,1.0,19,BuzzFeed,results_1_one_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,1.0,20,BuzzFeed,results_1_one_shot
metoda9,run9_BuzzFeed_pr_curve.csv,1.0,21,BuzzFeed,results_1_one_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.25,22,BuzzFeed,results_1_one_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.25,23,BuzzFeed,results_1_one_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.25,24,BuzzFeed,results_1_one_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.25,25,BuzzFeed,results_1_one_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.25,1,ISOT,results_1_one_shot
metoda17,run17_ISOT_pr_curve.csv,0.25,2,ISOT,results_1_one_shot
metoda8,run8_ISOT_pr_curve.csv,0.25,3,ISOT,results_1_one_shot
metoda7,run7_ISOT_pr_curve.csv,0.25,4,ISOT,results_1_one_shot
metoda6,run6_ISOT_pr_curve.csv,0.25,5,ISOT,results_1_one_shot
metoda5,run5_ISOT_pr_curve.csv,0.25,6,ISOT,results_1_one_shot
metoda4,run4_ISOT_pr_curve.csv,0.25,7,ISOT,results_1_one_shot
metoda3,run3_ISOT_pr_curve.csv,0.25,8,ISOT,results_1_one_shot
metoda2,run2_ISOT_pr_curve.csv,0.25,9,ISOT,results_1_one_shot
metoda20,run20_ISOT_pr_curve.csv,0.25,10,ISOT,results_1_one_shot
metoda19,run19_ISOT_pr_curve.csv,0.25,11,ISOT,results_1_one_shot
metoda18,run18_ISOT_pr_curve.csv,0.25,12,ISOT,results_1_one_shot
metoda16,run16_ISOT_pr_curve.csv,0.25,13,ISOT,results_1_one_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.25,14,ISOT,results_1_one_shot
metoda15,run15_ISOT_pr_curve.csv,0.25,15,ISOT,results_1_one_shot
metoda14,run14_ISOT_pr_curve.csv,0.25,16,ISOT,results_1_one_shot
metoda13,run13_ISOT_pr_curve.csv,0.25,17,ISOT,results_1_one_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.25,18,ISOT,results_1_one_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.25,19,ISOT,results_1_one_shot
metoda11,run11_ISOT_pr_curve.csv,0.25,20,ISOT,results_1_one_shot
metoda10,run10_ISOT_pr_curve.csv,0.25,21,ISOT,results_1_one_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.25,22,ISOT,results_1_one_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.25,23,ISOT,results_1_one_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.25,24,ISOT,results_1_one_shot
metoda9,run9_ISOT_pr_curve.csv,0.25,25,ISOT,results_1_one_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,1.0,1,WELFake,results_1_one_shot
metoda17,run17_WELFake_pr_curve.csv,1.0,2,WELFake,results_1_one_shot
metoda8,run8_WELFake_pr_curve.csv,1.0,3,WELFake,results_1_one_shot
metoda7,run7_WELFake_pr_curve.csv,1.0,4,WELFake,results_1_one_shot
metoda6,run6_WELFake_pr_curve.csv,1.0,5,WELFake,results_1_one_shot
metoda5,run5_WELFake_pr_curve.csv,1.0,6,WELFake,results_1_one_shot
metoda4,run4_WELFake_pr_curve.csv,1.0,7,WELFake,results_1_one_shot
metoda3,run3_WELFake_pr_curve.csv,1.0,8,WELFake,results_1_one_shot
metoda2,run2_WELFake_pr_curve.csv,1.0,9,WELFake,results_1_one_shot
metoda20,run20_WELFake_pr_curve.csv,1.0,10,WELFake,results_1_one_shot
metoda19,run19_WELFake_pr_curve.csv,1.0,11,WELFake,results_1_one_shot
metoda18,run18_WELFake_pr_curve.csv,1.0,12,WELFake,results_1_one_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,13,WELFake,results_1_one_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,1.0,14,WELFake,results_1_one_shot
metoda15,run15_WELFake_pr_curve.csv,1.0,15,WELFake,results_1_one_shot
metoda14,run14_WELFake_pr_curve.csv,1.0,16,WELFake,results_1_one_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,17,WELFake,results_1_one_shot
