method,metoda,AUC-PR,rank,dataset,folder
metoda12-rf,run12-rf_WELFake_pr_curve.csv,1.0,18,WELFake,results_1_one_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,1.0,19,WELFake,results_1_one_shot
metoda11,run11_WELFake_pr_curve.csv,1.0,20,WELFake,results_1_one_shot
metoda10,run10_WELFake_pr_curve.csv,1.0,21,WELFake,results_1_one_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,1.0,22,WELFake,results_1_one_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,1.0,23,WELFake,results_1_one_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,1.0,24,WELFake,results_1_one_shot
metoda9,run9_WELFake_pr_curve.csv,1.0,25,WELFake,results_1_one_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.7867485649467174,1,BuzzFeed,results_2_classic
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.7799660933671426,2,BuzzFeed,results_2_classic
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.7690233443840991,3,BuzzFeed,results_2_classic
metoda10,run10_BuzzFeed_pr_curve.csv,0.758365390693319,4,BuzzFeed,results_2_classic
metoda17,run17_BuzzFeed_pr_curve.csv,0.7563013789170479,5,BuzzFeed,results_2_classic
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.7562291973511769,6,BuzzFeed,results_2_classic
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.7325900366531095,7,BuzzFeed,results_2_classic
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.7202198474629599,8,BuzzFeed,results_2_classic
metoda2,run2_BuzzFeed_pr_curve.csv,0.6412144466663582,9,BuzzFeed,results_2_classic
metoda20,run20_BuzzFeed_pr_curve.csv,0.6412144466663582,10,BuzzFeed,results_2_classic
metoda6,run6_BuzzFeed_pr_curve.csv,0.6412144466663582,11,BuzzFeed,results_2_classic
metoda3,run3_BuzzFeed_pr_curve.csv,0.6412144466663582,12,BuzzFeed,results_2_classic
metoda15,run15_BuzzFeed_pr_curve.csv,0.6412144466663582,13,BuzzFeed,results_2_classic
metoda4,run4_BuzzFeed_pr_curve.csv,0.6412144466663582,14,BuzzFeed,results_2_classic
metoda8,run8_BuzzFeed_pr_curve.csv,0.6412144466663582,15,BuzzFeed,results_2_classic
metoda18,run18_BuzzFeed_pr_curve.csv,0.5734725516474165,16,BuzzFeed,results_2_classic
metoda11,run11_BuzzFeed_pr_curve.csv,0.5713671148152811,17,BuzzFeed,results_2_classic
metoda13,run13_BuzzFeed_pr_curve.csv,0.540610279003582,18,BuzzFeed,results_2_classic
metoda7,run7_BuzzFeed_pr_curve.csv,0.5282165658698484,19,BuzzFeed,results_2_classic
metoda9,run9_BuzzFeed_pr_curve.csv,0.5236173457774973,20,BuzzFeed,results_2_classic
metoda19,run19_BuzzFeed_pr_curve.csv,0.5216465075630838,21,BuzzFeed,results_2_classic
metoda16,run16_BuzzFeed_pr_curve.csv,0.4721110377317136,22,BuzzFeed,results_2_classic
metoda5,run5_BuzzFeed_pr_curve.csv,0.47037580429582254,23,BuzzFeed,results_2_classic
metoda14,run14_BuzzFeed_pr_curve.csv,0.4703297879502166,24,BuzzFeed,results_2_classic
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.4679318675106488,25,BuzzFeed,results_2_classic
metoda14,run14_ISOT_pr_curve.csv,0.827720670484797,1,ISOT,results_2_classic
metoda16,run16_ISOT_pr_curve.csv,0.8276521454079774,2,ISOT,results_2_classic
metoda19,run19_ISOT_pr_curve.csv,0.8251675018270285,3,ISOT,results_2_classic
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.8160305222790442,4,ISOT,results_2_classic
metoda11,run11_ISOT_pr_curve.csv,0.815113045423429,5,ISOT,results_2_classic
metoda7,run7_ISOT_pr_curve.csv,0.8139821911397902,6,ISOT,results_2_classic
metoda9,run9_ISOT_pr_curve.csv,0.8090499691364235,7,ISOT,results_2_classic
metoda13,run13_ISOT_pr_curve.csv,0.8080249892732511,8,ISOT,results_2_classic
metoda10,run10_ISOT_pr_curve.csv,0.8032158872398144,9,ISOT,results_2_classic
metoda20,run20_ISOT_pr_curve.csv,0.8029151295471912,10,ISOT,results_2_classic
metoda6,run6_ISOT_pr_curve.csv,0.8029151295471912,11,ISOT,results_2_classic
metoda15,run15_ISOT_pr_curve.csv,0.8029151295471912,12,ISOT,results_2_classic
metoda8,run8_ISOT_pr_curve.csv,0.8029151295471912,13,ISOT,results_2_classic
metoda2,run2_ISOT_pr_curve.csv,0.8029151295471912,14,ISOT,results_2_classic
metoda3,run3_ISOT_pr_curve.csv,0.8029151295471912,15,ISOT,results_2_classic
metoda4,run4_ISOT_pr_curve.csv,0.8029151295471912,16,ISOT,results_2_classic
metoda1-2,run1-2_ISOT_pr_curve.csv,0.8017749829901871,17,ISOT,results_2_classic
metoda1-5,run1-5_ISOT_pr_curve.csv,0.8013106554560777,18,ISOT,results_2_classic
metoda18,run18_ISOT_pr_curve.csv,0.8009741497650527,19,ISOT,results_2_classic
metoda1-3,run1-3_ISOT_pr_curve.csv,0.7983164831292875,20,ISOT,results_2_classic
metoda1-1,run1-1_ISOT_pr_curve.csv,0.7982144198368625,21,ISOT,results_2_classic
metoda1-4,run1-4_ISOT_pr_curve.csv,0.7955130704339863,22,ISOT,results_2_classic
metoda5,run5_ISOT_pr_curve.csv,0.7947792489126655,23,ISOT,results_2_classic
metoda17,run17_ISOT_pr_curve.csv,0.7927555142877292,24,ISOT,results_2_classic
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.7891183119218568,25,ISOT,results_2_classic
metoda19,run19_WELFake_pr_curve.csv,0.8684508043149232,1,WELFake,results_2_classic
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.842736281682145,2,WELFake,results_2_classic
metoda14,run14_WELFake_pr_curve.csv,0.8396196352026423,3,WELFake,results_2_classic
metoda16,run16_WELFake_pr_curve.csv,0.8395660163198473,4,WELFake,results_2_classic
metoda5,run5_WELFake_pr_curve.csv,0.8360812239402343,5,WELFake,results_2_classic
metoda13,run13_WELFake_pr_curve.csv,0.8296450720126312,6,WELFake,results_2_classic
metoda11,run11_WELFake_pr_curve.csv,0.8159786653437725,7,WELFake,results_2_classic
metoda7,run7_WELFake_pr_curve.csv,0.8146716580994902,8,WELFake,results_2_classic
metoda9,run9_WELFake_pr_curve.csv,0.8105784167363309,9,WELFake,results_2_classic
metoda10,run10_WELFake_pr_curve.csv,0.809297323968751,10,WELFake,results_2_classic
metoda15,run15_WELFake_pr_curve.csv,0.8073998768987214,11,WELFake,results_2_classic
metoda20,run20_WELFake_pr_curve.csv,0.8073998768987214,12,WELFake,results_2_classic
metoda2,run2_WELFake_pr_curve.csv,0.8073998768987214,13,WELFake,results_2_classic
metoda3,run3_WELFake_pr_curve.csv,0.8073998768987214,14,WELFake,results_2_classic
metoda4,run4_WELFake_pr_curve.csv,0.8073998768987214,15,WELFake,results_2_classic
metoda6,run6_WELFake_pr_curve.csv,0.8073998768987214,16,WELFake,results_2_classic
metoda8,run8_WELFake_pr_curve.csv,0.8073998768987214,17,WELFake,results_2_classic
metoda18,run18_WELFake_pr_curve.csv,0.8068596984287418,18,WELFake,results_2_classic
metoda1-1,run1-1_WELFake_pr_curve.csv,0.806049689985407,19,WELFake,results_2_classic
metoda1-5,run1-5_WELFake_pr_curve.csv,0.8050560993458804,20,WELFake,results_2_classic
metoda1-4,run1-4_WELFake_pr_curve.csv,0.8038403438624556,21,WELFake,results_2_classic
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.8037716472300034,22,WELFake,results_2_classic
metoda1-3,run1-3_WELFake_pr_curve.csv,0.8036407371762452,23,WELFake,results_2_classic
metoda17,run17_WELFake_pr_curve.csv,0.8031916627979347,24,WELFake,results_2_classic
metoda1-2,run1-2_WELFake_pr_curve.csv,0.8022323805431707,25,WELFake,results_2_classic
metoda17,run17_BuzzFeed_pr_curve.csv,0.9183333333333332,1,BuzzFeed,results_2_few_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.7026984126984126,2,BuzzFeed,results_2_few_shot
metoda9,run9_BuzzFeed_pr_curve.csv,0.6634920634920635,3,BuzzFeed,results_2_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.6588888888888889,4,BuzzFeed,results_2_few_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.6588888888888889,5,BuzzFeed,results_2_few_shot
metoda13,run13_BuzzFeed_pr_curve.csv,0.6334523809523809,6,BuzzFeed,results_2_few_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.6144444444444443,7,BuzzFeed,results_2_few_shot
metoda7,run7_BuzzFeed_pr_curve.csv,0.6144444444444443,8,BuzzFeed,results_2_few_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.6039682539682539,9,BuzzFeed,results_2_few_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.6030555555555555,10,BuzzFeed,results_2_few_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.5829761904761905,11,BuzzFeed,results_2_few_shot
metoda14,run14_BuzzFeed_pr_curve.csv,0.5829761904761905,12,BuzzFeed,results_2_few_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.5534126984126984,13,BuzzFeed,results_2_few_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.5099206349206349,14,BuzzFeed,results_2_few_shot
metoda11,run11_BuzzFeed_pr_curve.csv,0.43603174603174605,15,BuzzFeed,results_2_few_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.4217460317460317,16,BuzzFeed,results_2_few_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.41638888888888886,17,BuzzFeed,results_2_few_shot
metoda15,run15_BuzzFeed_pr_curve.csv,0.4151190476190476,18,BuzzFeed,results_2_few_shot
metoda20,run20_BuzzFeed_pr_curve.csv,0.4151190476190476,19,BuzzFeed,results_2_few_shot
metoda2,run2_BuzzFeed_pr_curve.csv,0.4151190476190476,20,BuzzFeed,results_2_few_shot
metoda3,run3_BuzzFeed_pr_curve.csv,0.4151190476190476,21,BuzzFeed,results_2_few_shot
metoda4,run4_BuzzFeed_pr_curve.csv,0.4151190476190476,22,BuzzFeed,results_2_few_shot
metoda6,run6_BuzzFeed_pr_curve.csv,0.4151190476190476,23,BuzzFeed,results_2_few_shot
metoda8,run8_BuzzFeed_pr_curve.csv,0.4151190476190476,24,BuzzFeed,results_2_few_shot
metoda5,run5_BuzzFeed_pr_curve.csv,0.3756349206349206,25,BuzzFeed,results_2_few_shot
metoda16,run16_ISOT_pr_curve.csv,1.0,1,ISOT,results_2_few_shot
metoda19,run19_ISOT_pr_curve.csv,1.0,2,ISOT,results_2_few_shot
metoda14,run14_ISOT_pr_curve.csv,0.9633333333333334,3,ISOT,results_2_few_shot
metoda5,run5_ISOT_pr_curve.csv,0.9183333333333332,4,ISOT,results_2_few_shot
metoda9,run9_ISOT_pr_curve.csv,0.8930952380952379,5,ISOT,results_2_few_shot
metoda13,run13_ISOT_pr_curve.csv,0.8599999999999999,6,ISOT,results_2_few_shot
metoda18,run18_ISOT_pr_curve.csv,0.8267857142857142,7,ISOT,results_2_few_shot
metoda6,run6_ISOT_pr_curve.csv,0.8163095238095237,8,ISOT,results_2_few_shot
metoda8,run8_ISOT_pr_curve.csv,0.8163095238095237,9,ISOT,results_2_few_shot
metoda15,run15_ISOT_pr_curve.csv,0.8163095238095237,10,ISOT,results_2_few_shot
metoda20,run20_ISOT_pr_curve.csv,0.8163095238095237,11,ISOT,results_2_few_shot
metoda2,run2_ISOT_pr_curve.csv,0.8163095238095237,12,ISOT,results_2_few_shot
metoda3,run3_ISOT_pr_curve.csv,0.8163095238095237,13,ISOT,results_2_few_shot
metoda4,run4_ISOT_pr_curve.csv,0.8163095238095237,14,ISOT,results_2_few_shot
metoda10,run10_ISOT_pr_curve.csv,0.7766666666666666,15,ISOT,results_2_few_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.7564285714285713,16,ISOT,results_2_few_shot
metoda7,run7_ISOT_pr_curve.csv,0.7514285714285713,17,ISOT,results_2_few_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.6914285714285714,18,ISOT,results_2_few_shot
metoda11,run11_ISOT_pr_curve.csv,0.6851190476190476,19,ISOT,results_2_few_shot
metoda17,run17_ISOT_pr_curve.csv,0.6567460317460316,20,ISOT,results_2_few_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.6529761904761905,21,ISOT,results_2_few_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.5730952380952381,22,ISOT,results_2_few_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.5730952380952381,23,ISOT,results_2_few_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.5730952380952381,24,ISOT,results_2_few_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.5730952380952381,25,ISOT,results_2_few_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,1,WELFake,results_2_few_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,2,WELFake,results_2_few_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.8163095238095237,3,WELFake,results_2_few_shot
metoda10,run10_WELFake_pr_curve.csv,0.8022222222222222,4,WELFake,results_2_few_shot
metoda14,run14_WELFake_pr_curve.csv,0.7984126984126985,5,WELFake,results_2_few_shot
metoda18,run18_WELFake_pr_curve.csv,0.7543650793650793,6,WELFake,results_2_few_shot
metoda9,run9_WELFake_pr_curve.csv,0.7514285714285713,7,WELFake,results_2_few_shot
metoda20,run20_WELFake_pr_curve.csv,0.7432539682539683,8,WELFake,results_2_few_shot
metoda8,run8_WELFake_pr_curve.csv,0.7432539682539683,9,WELFake,results_2_few_shot
metoda15,run15_WELFake_pr_curve.csv,0.7432539682539683,10,WELFake,results_2_few_shot
metoda6,run6_WELFake_pr_curve.csv,0.7432539682539683,11,WELFake,results_2_few_shot
metoda4,run4_WELFake_pr_curve.csv,0.7432539682539683,12,WELFake,results_2_few_shot
metoda3,run3_WELFake_pr_curve.csv,0.7432539682539683,13,WELFake,results_2_few_shot
metoda2,run2_WELFake_pr_curve.csv,0.7432539682539683,14,WELFake,results_2_few_shot
metoda7,run7_WELFake_pr_curve.csv,0.7400793650793651,15,WELFake,results_2_few_shot
metoda11,run11_WELFake_pr_curve.csv,0.7180555555555554,16,WELFake,results_2_few_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.6692460317460317,17,WELFake,results_2_few_shot
metoda5,run5_WELFake_pr_curve.csv,0.5688888888888889,18,WELFake,results_2_few_shot
metoda19,run19_WELFake_pr_curve.csv,0.5546428571428571,19,WELFake,results_2_few_shot
metoda17,run17_WELFake_pr_curve.csv,0.4217460317460317,20,WELFake,results_2_few_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.3859126984126984,21,WELFake,results_2_few_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.37579365079365074,22,WELFake,results_2_few_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.37579365079365074,23,WELFake,results_2_few_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.37579365079365074,24,WELFake,results_2_few_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.37579365079365074,25,WELFake,results_2_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,1.0,1,BuzzFeed,results_2_one_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,1.0,2,BuzzFeed,results_2_one_shot
metoda7,run7_BuzzFeed_pr_curve.csv,1.0,3,BuzzFeed,results_2_one_shot
metoda5,run5_BuzzFeed_pr_curve.csv,1.0,4,BuzzFeed,results_2_one_shot
metoda3,run3_BuzzFeed_pr_curve.csv,1.0,5,BuzzFeed,results_2_one_shot
metoda19,run19_BuzzFeed_pr_curve.csv,1.0,6,BuzzFeed,results_2_one_shot
metoda18,run18_BuzzFeed_pr_curve.csv,1.0,7,BuzzFeed,results_2_one_shot
metoda17,run17_BuzzFeed_pr_curve.csv,1.0,8,BuzzFeed,results_2_one_shot
metoda14,run14_BuzzFeed_pr_curve.csv,1.0,9,BuzzFeed,results_2_one_shot
metoda13,run13_BuzzFeed_pr_curve.csv,1.0,10,BuzzFeed,results_2_one_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,1.0,11,BuzzFeed,results_2_one_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,1.0,12,BuzzFeed,results_2_one_shot
metoda11,run11_BuzzFeed_pr_curve.csv,1.0,13,BuzzFeed,results_2_one_shot
metoda10,run10_BuzzFeed_pr_curve.csv,1.0,14,BuzzFeed,results_2_one_shot
metoda9,run9_BuzzFeed_pr_curve.csv,1.0,15,BuzzFeed,results_2_one_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.75,16,BuzzFeed,results_2_one_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.25,17,BuzzFeed,results_2_one_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.25,18,BuzzFeed,results_2_one_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.25,19,BuzzFeed,results_2_one_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,1.0,1,ISOT,results_2_one_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,1.0,2,ISOT,results_2_one_shot
metoda7,run7_ISOT_pr_curve.csv,1.0,3,ISOT,results_2_one_shot
metoda3,run3_ISOT_pr_curve.csv,1.0,4,ISOT,results_2_one_shot
metoda18,run18_ISOT_pr_curve.csv,1.0,5,ISOT,results_2_one_shot
metoda17,run17_ISOT_pr_curve.csv,1.0,6,ISOT,results_2_one_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,1.0,7,ISOT,results_2_one_shot
metoda9,run9_ISOT_pr_curve.csv,1.0,8,ISOT,results_2_one_shot
metoda11,run11_ISOT_pr_curve.csv,1.0,9,ISOT,results_2_one_shot
metoda10,run10_ISOT_pr_curve.csv,1.0,10,ISOT,results_2_one_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,1.0,11,ISOT,results_2_one_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,1.0,12,ISOT,results_2_one_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,1.0,13,ISOT,results_2_one_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.25,14,ISOT,results_2_one_shot
metoda14,run14_ISOT_pr_curve.csv,0.25,15,ISOT,results_2_one_shot
metoda16,run16_ISOT_pr_curve.csv,0.25,16,ISOT,results_2_one_shot
metoda19,run19_ISOT_pr_curve.csv,0.25,17,ISOT,results_2_one_shot
metoda5,run5_ISOT_pr_curve.csv,0.25,18,ISOT,results_2_one_shot
metoda13,run13_ISOT_pr_curve.csv,0.25,19,ISOT,results_2_one_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,1,WELFake,results_2_one_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,1.0,2,WELFake,results_2_one_shot
metoda5,run5_WELFake_pr_curve.csv,1.0,3,WELFake,results_2_one_shot
metoda18,run18_WELFake_pr_curve.csv,1.0,4,WELFake,results_2_one_shot
metoda17,run17_WELFake_pr_curve.csv,1.0,5,WELFake,results_2_one_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,6,WELFake,results_2_one_shot
metoda14,run14_WELFake_pr_curve.csv,1.0,7,WELFake,results_2_one_shot
metoda9,run9_WELFake_pr_curve.csv,1.0,8,WELFake,results_2_one_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.25,9,WELFake,results_2_one_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.25,10,WELFake,results_2_one_shot
metoda11,run11_WELFake_pr_curve.csv,0.25,11,WELFake,results_2_one_shot
metoda10,run10_WELFake_pr_curve.csv,0.25,12,WELFake,results_2_one_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.25,13,WELFake,results_2_one_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.25,14,WELFake,results_2_one_shot
metoda19,run19_WELFake_pr_curve.csv,0.25,15,WELFake,results_2_one_shot
metoda3,run3_WELFake_pr_curve.csv,0.25,16,WELFake,results_2_one_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.25,17,WELFake,results_2_one_shot
metoda7,run7_WELFake_pr_curve.csv,0.25,18,WELFake,results_2_one_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.25,19,WELFake,results_2_one_shot
